url	download_complete
duttgroup.ics.uci.edu/doku.php/projects?do=media&ns=	incomplete
www.ics.uci.edu/prospective/vi/degrees/software-engineering	incomplete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.ics.uci.edu/~nicolau	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	incomplete
emj.ics.uci.edu/teaching	incomplete
www.ics.uci.edu/about/visit_fromLAX.php	incomplete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	incomplete
ngs.ics.uci.edu/entrepreneurship/current-companies	incomplete
www.ics.uci.edu/~bdonyana	incomplete
www.ics.uci.edu/policies/index.php	incomplete
www.ics.uci.edu/about/bren/gallery/gallery_14_jpg.php	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
www.ics.uci.edu/prospective/en/degrees/software-engineering	complete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=bruberg	incomplete
www.ics.uci.edu/~bermanb	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=standish	incomplete
www.ics.uci.edu/community/news/view_news?id=1283	incomplete
www.ics.uci.edu/UCIBrenICS/photos/a.10150104180706909.283411.106291486908/10155309152526909?type=3	incomplete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Emma_Anderson.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1129	incomplete
www.ics.uci.edu/~ziv	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=hziv	incomplete
www.ics.uci.edu/UCIBrenICS/posts?ref=page_internal	incomplete
www.ics.uci.edu/UCIBrenICS/events?ref=page_internal	incomplete
www.ics.uci.edu/~kroher	incomplete
sherlock.ics.uci.edu/people.html	incomplete
www.ics.uci.edu/~redmiles/links.html	incomplete
www.ics.uci.edu/prospective/ko/degrees/informatics	incomplete
www.ics.uci.edu/community/news/view_news?id=1238	incomplete
www.ics.uci.edu/community/news/view_news?id=1239	incomplete
www.ics.uci.edu/~craigga	incomplete
www.ics.uci.edu/community/news/view_news?id=1230	incomplete
www.ics.uci.edu/community/news/view_news?id=1231	incomplete
www.ics.uci.edu/computing/ethics_summary.php	incomplete
